variant,degree,optimizer,denoise,one_step_t_rmse,rollout_t_rmse,diverged_frac,nonzero,sparsity,kappa,embeddable,mpc_step_ms,sign_pass,structural_stability,transparent
physics_no_cross,1,constrained,none,2.949389324821416,4.017060889773363,0.0,9,0.8333333333333334,24.682024019054563,True,,0.0,0.9851851851851853,False
physics_no_cross,1,stlsq,savgol,3.949374572928997,5.224745076523566,0.0,3,0.9444444444444444,14.741542568645896,True,,0.0,1.0,False
physics_no_cross,1,sr3,savgol,3.949723675288587,5.237493577683366,0.0,3,0.9444444444444444,14.741542568645896,True,,0.0,1.0,False
physics_no_cross,1,ensemble,savgol,3.9499126476876327,5.244491097004938,0.0,3,0.9444444444444444,14.741542568645896,True,,0.0,1.0,False
physics_no_cross,1,constrained,savgol,3.949723675288587,5.237493577683366,0.0,3,0.9444444444444444,14.741542568645896,True,,0.0,1.0,False
physics_no_cross,1,stlsq,kalman,3.9526883298840243,5.355597576363912,0.0,3,0.9444444444444444,14.679768406306463,True,,0.0,1.0,False
physics_no_cross,1,sr3,kalman,3.969944965340364,6.570993698380383,0.0,3,0.9444444444444444,14.679768406306463,True,,0.0,1.0,False
physics_no_cross,1,ensemble,kalman,3.9526921042527317,5.355759940540256,0.0,3,0.9444444444444444,14.679768406306463,True,,0.0,1.0,False
physics_no_cross,1,constrained,kalman,3.969944965340364,6.570993698380383,0.0,3,0.9444444444444444,14.679768406306463,True,,0.0,1.0,False
raw,1,stlsq,none,2.016584970442102,2.7264693939467324,0.0,18,0.6,8.250106040913357,True,,0.0,0.9629629629629631,False
raw,1,sr3,none,2.578987079920114,4.597854866519405,0.0,6,0.8666666666666667,8.250106040913357,True,,0.0,0.9888888888888889,False
raw,1,ensemble,none,2.016929763555608,2.7191242049376094,0.0,18,0.6,8.250106040913357,True,,0.0,0.974074074074074,False
raw,1,constrained,none,2.578987079920114,4.597854866519405,0.0,6,0.8666666666666667,8.250106040913357,True,,0.0,0.9888888888888889,False
raw,1,stlsq,savgol,3.949374572928997,5.224745076523566,0.0,3,0.9333333333333333,9.155973347559149,True,,0.0,1.0,False
raw,1,sr3,savgol,3.9308582536922083,4.785858708383524,0.0,3,0.9333333333333333,9.155973347559149,True,,0.0,1.0,False
raw,1,ensemble,savgol,3.949088219089446,5.214458250388084,0.0,3,0.9333333333333333,9.155973347559149,True,,0.0,1.0,False
raw,1,constrained,savgol,3.9308582536922083,4.785858708383524,0.0,3,0.9333333333333333,9.155973347559149,True,,0.0,1.0,False
raw,1,stlsq,kalman,3.9526883298840243,5.355597576363912,0.0,3,0.9333333333333333,7.846241675127432,True,,0.0,1.0,False
raw,1,sr3,kalman,3.9582120069695708,5.631498260414481,0.0,3,0.9333333333333333,7.846241675127432,True,,0.0,1.0,False
raw,1,ensemble,kalman,3.952906445545507,5.3650333823740315,0.0,3,0.9333333333333333,7.846241675127432,True,,0.0,1.0,False
raw,1,constrained,kalman,3.9582120069695708,5.631498260414481,0.0,3,0.9333333333333333,7.846241675127432,True,,0.0,1.0,False
physics,2,stlsq,none,1.146087543551576,82.41423391078398,0.15,274,0.6389986824769434,53.12296124681997,False,,,,False
physics,2,ensemble,none,3.041432247447583,35433.36997339211,1.0,242,0.6811594202898551,53.12296124681997,False,,,,False
physics,2,stlsq,savgol,3.949374572928997,5.194710312886275,0.05,17,0.9776021080368906,42.00000537419437,False,,,,False
physics,2,ensemble,savgol,3.948953806696754,5.186363667067278,0.05,5,0.9934123847167325,42.00000537419437,False,,,,False
physics,2,stlsq,kalman,3.9526883298840243,5.355597576363912,0.0,3,0.9960474308300395,40.17318113305418,False,,,,False
physics,2,ensemble,kalman,3.9520886882989035,5.330206361584829,0.0,3,0.9960474308300395,40.17318113305418,False,,,,False
